"日期","收市","開市","高","低","成交量","更改%"
"2017年7月18日","82.40","82.20","82.40","81.85","3.28B","0.24%"
"2017年7月17日","82.20","82.50","82.55","82.00","2.69B","0.18%"
"2017年7月14日","82.05","82.00","82.15","81.80","2.28B","-0.18%"
"2017年7月13日","82.20","81.95","82.40","81.75","3.99B","0.80%"
"2017年7月12日","81.55","81.50","81.80","81.30","3.95B","0.00%"
"2017年7月11日","81.55","80.70","81.55","80.55","4.14B","1.49%"
"2017年7月10日","80.35","80.00","80.45","80.00","3.55B","0.50%"
"2017年7月7日","79.95","80.25","80.25","79.80","3.57B","-0.56%"
"2017年7月6日","80.40","80.75","80.75","80.20","2.49B","-0.43%"
"2017年7月5日","80.75","80.10","80.75","79.75","2.27B","0.94%"
"2017年7月4日","80.00","80.45","80.60","80.00","1.24B","-0.56%"
"2017年7月3日","80.45","80.40","80.60","80.20","1.55B","0.06%"
"2017年6月30日","80.40","80.10","80.40","79.80","3.07B","-0.31%"
"2017年6月29日","80.65","81.00","81.05","80.50","1.43B","0.12%"
"2017年6月28日","80.55","80.90","81.05","80.30","6.29B","-0.92%"
"2017年6月27日","81.30","81.40","81.50","81.00","3.03B","-0.12%"
"2017年6月26日","81.40","79.80","81.50","79.80","14.25B","2.13%"
"2017年6月23日","79.70","79.75","80.05","79.65","8.52B","-0.06%"
"2017年6月22日","79.75","79.60","79.85","79.55","6.11B","0.25%"
"2017年6月21日","79.55","79.20","79.90","78.85","13.61B","0.13%"
"2017年6月20日","79.45","78.60","79.65","78.60","4.05B","1.15%"
"2017年6月19日","78.55","77.70","78.55","77.70","5.14B","1.09%"
"2017年6月16日","77.70","76.90","77.70","76.85","4.23B","1.04%"
"2017年6月15日","76.90","76.80","76.90","76.60","1.51B","0.07%"
"2017年6月14日","76.85","77.40","77.40","76.50","3.38B","-0.52%"
"2017年6月13日","77.25","77.15","77.30","77.00","1.62B","0.13%"
"2017年6月12日","77.15","77.15","77.50","77.05","3.30B","-1.09%"
"2017年6月9日","78.00","78.05","78.35","77.95","3.01B","-0.32%"
"2017年6月8日","78.25","77.95","78.25","77.80","1.89B","0.38%"
"2017年6月7日","77.95","77.90","78.10","77.70","1.84B","0.00%"
"2017年6月6日","77.95","77.95","77.95","77.70","1.20B","-0.06%"
"2017年6月5日","78.00","77.35","78.00","77.25","3.28B","0.78%"
"2017年6月3日","77.40","77.25","77.40","77.25","2.05M","0.26%"
"2017年6月2日","77.20","77.30","77.30","77.05","3.54B","0.39%"
"2017年6月1日","76.90","76.50","76.90","76.50","2.22B","0.52%"
"2017年5月31日","76.50","76.95","77.50","76.40","2.70B","-0.58%"
"2017年5月26日","76.95","77.00","77.15","76.75","4.02B","-0.06%"
"2017年5月25日","77.00","76.70","77.00","76.45","4.68B","0.92%"
"2017年5月24日","76.30","76.35","76.45","76.25","2.89B","-0.07%"
"2017年5月23日","76.35","76.05","76.45","76.00","3.84B","0.39%"
"2017年5月22日","76.05","75.95","76.15","75.75","2.58B","0.26%"
"2017年5月19日","75.85","75.65","75.90","75.65","1.16B","-0.07%"
"2017年5月18日","75.90","75.65","75.90","75.30","4.27B","-0.52%"
"2017年5月17日","76.30","76.30","76.40","76.05","1.33B","-0.26%"
"2017年5月16日","76.50","76.50","76.60","76.25","1.60B","0.00%"
"2017年5月15日","76.50","76.30","76.55","76.20","1.28B","0.26%"
"2017年5月12日","76.30","76.25","76.50","76.15","2.81B","-0.26%"
"2017年5月11日","76.50","76.10","76.50","76.00","2.02B","0.33%"
"2017年5月10日","76.25","76.15","76.35","76.00","1.76B","0.40%"
"2017年5月9日","75.95","75.70","76.50","75.70","4.19B","0.33%"
"2017年5月8日","75.70","75.55","75.70","75.25","4.08B","0.73%"
"2017年5月5日","75.15","75.45","75.45","75.10","5.29B","-0.66%"
"2017年5月4日","75.65","75.55","75.65","75.35","4.00B","0.13%"
"2017年5月3日","75.55","75.30","75.65","75.30","4.71B","0.47%"
"2017年5月2日","75.20","75.00","75.40","75.00","15.73B","0.87%"
"2017年4月28日","74.55","74.50","74.60","74.30","4.42B","0.07%"
"2017年4月27日","74.50","74.35","74.50","74.15","3.68B","-0.07%"
"2017年4月26日","74.55","74.70","74.70","74.40","4.12B","0.27%"
"2017年4月25日","74.35","73.85","74.40","73.70","5.70B","0.95%"
"2017年4月24日","73.65","73.90","73.95","73.45","4.31B","0.20%"
"2017年4月21日","73.50","73.25","73.50","73.10","3.25B","0.96%"
"2017年4月20日","72.80","72.55","72.90","72.50","3.14B","0.00%"
"2017年4月19日","72.80","73.10","73.25","72.65","9.19B","-1.09%"
"2017年4月18日","73.60","73.85","74.00","73.50","4.10B","0.00%"
"2017年4月17日","73.60","73.55","73.80","73.35","5.34B","0.07%"
"2017年4月14日","73.55","73.90","73.90","73.50","2.67B","-1.14%"
"2017年4月13日","74.40","73.90","74.45","73.90","6.00B","0.47%"
"2017年4月12日","74.05","73.90","74.10","73.65","1.94B","0.20%"
"2017年4月11日","73.90","74.10","74.40","73.75","1.27B","-0.40%"
"2017年4月10日","74.20","74.10","74.25","74.00","1.06B","0.13%"
"2017年4月7日","74.10","74.30","74.30","73.40","1.89B","-0.40%"
"2017年4月6日","74.40","74.80","74.80","74.30","2.81B","-0.33%"
"2017年4月5日","74.65","73.95","74.80","73.95","3.59B","1.29%"
"2017年3月31日","73.70","73.95","74.10","73.70","2.01B","-0.27%"
"2017年3月30日","73.90","74.00","74.25","73.90","2.18B","-0.14%"
"2017年3月29日","74.00","74.45","74.50","74.00","2.46B","-0.34%"
"2017年3月28日","74.25","74.55","74.60","73.95","5.57B","0.07%"
"2017年3月27日","74.20","74.00","74.40","73.85","2.47B","-0.07%"
"2017年3月24日","74.25","74.35","74.40","74.10","3.31B","-0.13%"
"2017年3月23日","74.35","74.60","74.65","74.15","4.10B","0.20%"
"2017年3月22日","74.20","74.25","74.25","74.00","4.94B","-0.93%"
"2017年3月21日","74.90","74.30","74.90","74.30","8.51B","1.28%"
"2017年3月20日","73.95","73.95","74.15","73.85","5.07B","-0.07%"
"2017年3月17日","74.00","73.85","74.10","73.75","5.26B","0.27%"
"2017年3月16日","73.80","73.30","73.85","73.30","7.54B","1.30%"
"2017年3月15日","72.85","72.80","73.00","72.60","3.49B","-0.21%"
"2017年3月14日","73.00","72.60","73.10","72.60","3.95B","0.69%"
"2017年3月13日","72.50","72.15","72.50","72.15","2.52B","0.69%"
"2017年3月10日","72.00","71.95","72.05","71.55","5.42B","-0.07%"
"2017年3月9日","72.05","72.60","72.60","71.95","3.38B","-1.10%"
"2017年3月8日","72.85","72.65","72.85","72.45","2.18B","0.55%"
"2017年3月7日","72.45","72.25","72.60","72.25","2.03B","0.42%"
"2017年3月6日","72.15","72.05","72.25","72.00","2.18B","0.07%"
"2017年3月3日","72.10","72.30","72.35","72.00","4.41B","-0.62%"
"2017年3月2日","72.55","72.95","73.25","72.25","7.06B","0.28%"
"2017年3月1日","72.35","73.10","73.10","72.35","3.11B","-1.09%"
"2017年2月24日","73.15","73.05","73.30","72.85","1.84B","0.07%"
"2017年2月23日","73.10","73.25","73.55","73.10","2.33B","-0.27%"
"2017年2月22日","73.30","73.60","73.70","73.15","2.94B","0.07%"
"2017年2月21日","73.25","73.20","73.40","73.05","3.34B","0.21%"
"2017年2月20日","73.10","73.55","73.65","73.10","2.80B","-0.54%"
"2017年2月18日","73.50","73.30","73.55","73.30","3.22K","0.20%"
"2017年2月17日","73.35","73.65","73.70","73.35","5.19B","-0.14%"
"2017年2月16日","73.45","74.00","74.20","73.35","5.47B","-0.61%"
"2017年2月15日","73.90","73.30","73.90","73.20","9.41B","0.96%"
"2017年2月14日","73.20","73.40","73.50","73.10","6.07B","0.34%"
"2017年2月13日","72.95","72.80","73.10","72.80","3.33B","0.21%"
"2017年2月10日","72.80","72.10","72.95","72.10","4.87B","1.11%"
"2017年2月9日","72.00","71.75","72.20","71.65","3.55B","0.35%"
"2017年2月8日","71.75","71.90","71.90","71.35","4.43B","-2.11%"
"2017年2月7日","73.30","73.10","73.45","73.10","4.30B","0.07%"
"2017年2月6日","73.25","73.00","73.40","72.95","2.95B","0.55%"
"2017年2月3日","72.85","72.95","73.15","72.65","2.81B","-0.07%"
"2017年2月2日","72.90","73.50","73.65","72.75","7.00B","-0.55%"
"2017年1月24日","73.30","73.00","73.30","72.90","4.58B","0.76%"
"2017年1月23日","72.75","72.55","73.00","72.55","5.97B","0.83%"
"2017年1月20日","72.15","71.95","72.25","71.95","2.42B","0.28%"
"2017年1月19日","71.95","71.85","72.10","71.60","4.06B","-0.28%"
"2017年1月18日","72.15","72.20","72.20","72.05","3.84B","-0.21%"
"2017年1月17日","72.30","72.00","72.40","72.00","1.57B","0.42%"
"2017年1月16日","72.00","72.40","72.40","71.80","2.42B","-0.83%"
"2017年1月13日","72.60","72.80","72.80","72.60","3.91B","-0.75%"
"2017年1月12日","73.15","72.60","73.30","72.60","4.86B","1.04%"
"2017年1月11日","72.40","72.80","72.85","72.40","1.90B","0.00%"
"2017年1月10日","72.40","72.45","72.60","72.40","1.86B","-0.07%"
"2017年1月9日","72.45","72.75","72.95","72.30","5.04B","-0.28%"
"2017年1月6日","72.65","72.45","72.75","72.45","3.75B","0.21%"
"2017年1月5日","72.50","71.85","72.50","71.80","4.57B","0.90%"
"2017年1月4日","71.85","72.00","72.10","71.75","4.28B","-0.07%"
"2017年1月3日","71.90","71.70","71.90","71.50","2.33B","0.14%"
"2016年12月30日","71.80","71.65","72.00","71.55","2.73B","0.77%"
"2016年12月29日","71.25","71.45","71.45","71.20","1.91B","-0.49%"
"2016年12月28日","71.60","70.85","71.60","70.85","3.69B","1.20%"
"2016年12月27日","70.75","70.80","70.90","70.65","2.49B","-0.07%"
"2016年12月26日","70.80","70.65","70.80","70.55","2.10B","0.35%"
"2016年12月23日","70.55","70.60","70.85","70.35","5.13B","-0.35%"
"2016年12月22日","70.80","71.55","71.55","70.80","4.97B","-1.26%"
"2016年12月21日","71.70","71.75","71.85","71.50","9.32B","-0.07%"
"2016年12月20日","71.75","71.95","71.95","71.55","2.03B","-0.14%"
"2016年12月19日","71.85","72.25","72.30","71.85","2.68B","-0.62%"
"2016年12月16日","72.30","72.80","72.80","72.30","2.15B","-0.96%"
"2016年12月15日","73.00","72.55","73.00","72.40","3.02B","-0.14%"
"2016年12月14日","73.10","73.20","73.30","72.90","2.83B","0.21%"
"2016年12月13日","72.95","72.85","73.00","72.65","2.55B","0.14%"
"2016年12月12日","72.85","73.30","73.55","72.75","3.21B","-0.41%"
"2016年12月9日","73.15","73.05","73.20","72.95","5.42B","0.34%"
"2016年12月8日","72.90","72.30","73.00","72.30","6.09B","1.25%"
"2016年12月7日","72.00","72.20","72.35","71.90","1.47B","0.00%"
"2016年12月6日","72.00","71.80","72.20","71.75","2.44B","1.27%"
"2016年12月5日","71.10","71.20","71.20","70.80","1.39B","-0.14%"
"2016年12月2日","71.20","71.20","71.20","70.90","3.31B","-1.11%"
"2016年12月1日","72.00","71.60","72.10","71.60","1.96B","0.42%"
"2016年11月30日","71.70","71.70","71.90","71.50","1.92B","0.07%"
"2016年11月29日","71.65","71.90","72.00","71.65","1.42B","-0.14%"
"2016年11月28日","71.75","71.35","72.00","71.35","2.65B","0.56%"
"2016年11月25日","71.35","71.35","71.65","71.25","2.65B","-0.07%"
"2016年11月24日","71.40","71.60","71.60","71.20","2.30B","-0.56%"
"2016年11月23日","71.80","71.50","71.90","71.45","1.91B","0.49%"
"2016年11月22日","71.45","70.75","71.65","70.75","5.29B","1.35%"
"2016年11月21日","70.50","70.30","70.50","70.10","2.65B","0.14%"
"2016年11月18日","70.40","70.10","70.40","69.90","2.12B","0.28%"
"2016年11月17日","70.20","70.00","70.20","69.75","3.31B","0.29%"
"2016年11月16日","70.00","70.20","70.50","69.95","24.75B","0.14%"
"2016年11月15日","69.90","69.80","70.10","69.75","4.02B","-0.29%"
"2016年11月14日","70.10","69.95","70.30","69.45","7.12B","0.07%"
"2016年11月11日","70.05","70.35","70.70","69.95","8.38B","-2.71%"
"2016年11月10日","72.00","71.80","72.10","71.75","6.70B","2.86%"
"2016年11月9日","70.00","72.85","73.05","70.00","19.94B","-3.25%"
"2016年11月8日","72.35","72.15","72.40","72.00","2.69B","0.49%"
"2016年11月7日","72.00","71.80","72.00","71.45","3.24B","1.41%"
"2016年11月4日","71.00","71.00","71.20","70.85","4.35B","-0.28%"
"2016年11月3日","71.20","71.45","71.60","71.10","4.55B","-0.77%"
"2016年11月2日","71.75","71.95","72.00","71.60","5.50B","-1.17%"
"2016年11月1日","72.60","72.25","72.60","72.10","2.02B","0.00%"
"2016年10月31日","72.60","72.25","72.70","71.70","5.46B","0.00%"
"2016年10月28日","72.60","72.60","72.75","72.45","4.28B","0.00%"
"2016年10月27日","72.60","73.00","73.15","72.40","3.17B","-0.55%"
"2016年10月26日","73.00","73.00","73.15","72.90","2.87B","-0.54%"
"2016年10月25日","73.40","72.85","73.50","72.85","3.72B","0.96%"
"2016年10月24日","72.70","72.85","72.95","72.60","3.26B","0.14%"
"2016年10月21日","72.60","72.65","73.05","72.55","4.23B","-0.07%"
"2016年10月20日","72.65","72.35","72.75","72.35","4.84B","0.41%"
"2016年10月19日","72.35","72.00","72.60","72.00","21.58B","0.56%"
"2016年10月18日","71.95","71.50","71.95","71.30","3.62B","0.70%"
"2016年10月17日","71.45","71.45","71.60","70.60","4.42B","0.00%"
"2016年10月14日","71.45","71.30","71.90","71.30","3.63B","-0.35%"
"2016年10月13日","71.70","72.20","72.30","71.45","5.45B","-0.76%"
"2016年10月12日","72.25","71.50","72.30","71.35","6.06B","1.12%"
"2016年10月11日","71.45","72.35","72.45","71.20","6.94B","-0.28%"
"2016年10月7日","71.65","71.60","71.80","71.60","3.05B","-0.07%"
"2016年10月6日","71.70","71.70","71.75","71.45","2.07B","0.28%"
"2016年10月5日","71.50","71.60","71.85","71.45","2.84B","-0.35%"
"2016年10月4日","71.75","71.45","71.75","71.30","5.17B","0.42%"
"2016年10月3日","71.45","71.20","71.60","71.10","3.89B","0.70%"
"2016年9月30日","70.95","71.15","71.35","70.80","5.84B","-1.32%"
"2016年9月29日","71.90","71.85","72.15","71.40","9.62B","1.27%"
"2016年9月26日","71.00","71.50","71.50","71.00","3.74B","-1.25%"
"2016年9月23日","71.90","71.50","71.90","71.40","4.22B","0.70%"
"2016年9月22日","71.40","71.90","72.00","71.25","4.93B","0.21%"
"2016年9月21日","71.25","70.75","71.35","70.55","12.16B","0.49%"
"2016年9月20日","70.90","70.90","71.00","70.60","2.80B","-0.14%"
"2016年9月19日","71.00","69.40","71.00","69.40","9.89B","3.73%"
"2016年9月14日","68.45","68.50","69.05","68.45","5.62B","-0.58%"
"2016年9月13日","68.85","69.10","69.20","68.20","7.12B","0.00%"
"2016年9月12日","68.85","69.35","69.35","68.70","7.24B","-0.79%"
"2016年9月10日","69.40","69.00","69.60","69.00","8.81K","-1.42%"
"2016年9月9日","70.40","70.90","70.90","70.35","5.23B","-1.68%"
"2016年9月8日","71.60","71.80","71.80","71.40","4.67B","-0.35%"
"2016年9月7日","71.85","70.95","71.90","70.95","9.69B","1.41%"
"2016年9月6日","70.85","70.25","70.90","70.25","7.34B","0.78%"
"2016年9月5日","70.30","69.80","70.30","69.80","8.52B","1.66%"
"2016年9月2日","69.15","69.10","69.30","68.80","2.62B","0.14%"
"2016年9月1日","69.05","69.30","69.30","68.60","5.97B","-0.50%"
"2016年8月31日","69.40","69.85","70.05","69.30","5.21B","-0.86%"
"2016年8月30日","70.00","70.00","70.25","69.80","3.79B","-0.07%"
"2016年8月29日","70.05","69.90","70.15","69.20","3.55B","-0.07%"
"2016年8月26日","70.10","69.95","70.30","69.80","2.99B","0.14%"
"2016年8月25日","70.00","69.30","70.15","69.30","8.02B","1.16%"
"2016年8月24日","69.20","69.35","69.55","69.20","5.07B","-0.29%"
"2016年8月23日","69.40","68.90","69.60","68.90","7.08B","1.02%"
"2016年8月22日","68.70","69.00","69.15","68.45","7.08B","-0.72%"
"2016年8月19日","69.20","69.90","70.45","69.20","8.30B","-1.00%"
"2016年8月18日","69.90","70.00","70.15","69.80","3.28B","-0.21%"
"2016年8月17日","70.05","69.90","70.10","69.75","8.92B","0.14%"
"2016年8月16日","69.95","70.30","70.50","69.70","4.43B","-0.57%"
"2016年8月15日","70.35","70.20","70.50","69.90","4.80B","0.21%"
"2016年8月12日","70.20","70.15","70.50","70.05","5.26B","0.36%"
"2016年8月11日","69.95","70.20","70.55","69.45","10.90B","-0.92%"
"2016年8月10日","70.60","70.30","70.60","70.05","6.50B","0.28%"
"2016年8月9日","70.40","70.00","70.45","69.95","11.57B","0.50%"
"2016年8月8日","70.05","70.00","70.25","69.70","7.90B","0.65%"
"2016年8月5日","69.60","69.10","69.75","68.90","12.42B","1.02%"
"2016年8月4日","68.90","68.85","68.95","68.35","10.67B","0.22%"
"2016年8月3日","68.75","68.50","68.90","68.05","13.80B","-0.79%"
"2016年8月2日","69.30","69.25","69.40","69.10","7.12B","0.00%"
"2016年8月1日","69.30","68.80","69.45","68.80","10.41B","1.09%"
"2016年7月29日","68.55","68.85","69.20","68.55","19.39B","-0.72%"
"2016年7月28日","69.05","69.00","69.25","68.60","11.45B","-0.93%"
"2016年7月27日","69.70","69.65","69.95","69.50","11.12B","0.43%"
"2016年7月26日","69.40","69.00","69.40","68.85","13.21B","0.58%"
"2016年7月25日","69.00","69.50","69.95","68.35","11.68B","-0.43%"
"2016年7月22日","69.30","69.55","69.70","69.20","3.26B","-0.36%"
"2016年7月21日","69.55","69.45","69.90","69.35","9.98B","0.51%"
"2016年7月20日","69.20","69.00","69.30","68.80","24.72B","-0.07%"
"2016年7月19日","69.25","69.20","69.30","68.80","17.05B","0.14%"
"2016年7月18日","69.15","68.45","69.15","68.45","36.85B","0.95%"
"2016年7月15日","68.50","67.80","68.50","67.80","15.54B","1.18%"
"2016年7月14日","67.70","67.50","67.85","67.30","10.11B","0.07%"
"2016年7月13日","67.65","67.85","67.90","67.10","9.43B","0.07%"
"2016年7月12日","67.60","67.15","67.60","67.15","15.40B","0.90%"
"2016年7月11日","67.00","66.70","67.25","66.70","22.21B","1.98%"
"2016年7月7日","65.70","65.45","65.75","65.35","6.59B","1.23%"
"2016年7月6日","64.90","65.60","65.60","64.70","8.73B","-1.82%"
"2016年7月5日","66.10","66.20","66.25","65.85","6.00B","-0.30%"
"2016年7月4日","66.30","66.10","66.75","66.00","9.99B","0.08%"
"2016年7月1日","66.25","65.85","66.40","65.65","30.67B","1.22%"
"2016年6月30日","65.45","65.15","65.45","64.65","25.34B","1.16%"
"2016年6月29日","64.70","64.15","65.00","64.15","9.10B","1.09%"
"2016年6月28日","64.00","63.10","64.05","63.05","5.34B","0.39%"
"2016年6月27日","63.75","63.20","63.75","63.00","4.93B","1.03%"
"2016年6月24日","63.10","64.75","64.90","62.05","31.67B","-2.62%"
"2016年6月23日","64.80","64.80","64.85","64.55","32.19B","-0.23%"
"2016年6月22日","64.95","64.75","64.95","64.55","10.56B","0.31%"
"2016年6月21日","64.75","64.50","64.95","64.45","18.11B","0.39%"
"2016年6月20日","64.50","64.50","64.65","64.35","10.31B","0.70%"
"2016年6月17日","64.05","63.85","64.40","63.85","5.81B","1.10%"
"2016年6月16日","63.35","64.10","64.10","63.00","9.00B","-1.40%"
"2016年6月15日","64.25","64.15","64.40","63.60","22.58B","0.16%"
"2016年6月14日","64.15","63.50","64.20","63.50","6.41B","0.63%"
"2016年6月13日","63.75","64.30","64.45","63.70","9.52B","-2.30%"
"2016年6月8日","65.25","65.00","65.55","65.00","26.06B","0.54%"
